Clue (6),ANSWER
 Pancake palace (4),IHOP
 Stack place (4),IHOP
 Home-furnishings chain (4),IKEA
 Of a part of the small intestine (5),ILEAL
" ""__ Three Lives"" (4)",ILED
" ""___ Three Lives"" (4)",ILED
 France's ___' Oleron (4),ILED
 Start of a Tony Bennett hit (5),ILEFT
 Lifou and Mare (4),ILES
 Mer sights (4),ILES
 Mer sights (4),ILES
" Points on a ""carte"" (4)",ILES
" ""__ a Song Go ..."" (4)",ILET
" ""__ a Song Go ..."" (4)",ILET
" ""__ a Song Go ..."" (4)",ILET
" ""__ a song go ..."" (4)",ILET
" ""___ Song Go Out Of My Heart"" (5)",ILETA
" ""____ song go out..."" (5)",ILETA
 Pelvic bones (4),ILIA
 Of a hip bone (5),ILIAC
 Of a hip bone (5),ILIAC
 Sacro finisher (5),ILIAC
 Homer classic (5),ILIAD
 Homeric epic (5),ILIAD
 The saga of Troy (5),ILIAD
 Trojan War account (5),ILIAD
 Trojan War epic (5),ILIAD
 Nastase of tennis (4),ILIE
 Opponent for Bjorn (4),ILIE
 Troy. as it's also known (5),ILION
 Troy. to the ancient Latins (5),ILIUM
 Actress Chase (4),ILKA
 Chase of theater (4),ILKA
 Miss Chase (4),ILKA
 Imprudent (10),ILLADVISED
 Not as well (5),ILLER
 Ailments (4),ILLS
 Troubles (4),ILLS
 Enlighten (10),ILLUMINATE
 Man from Uncle's Kuryakin (5),ILLYA
 Massey of movies (5),ILONA
 Massey of old films (5),ILONA
 Massey of the screen (5),ILONA
 Ms. Massey (5),ILONA
" ""___ Lucy"" (5)",ILOVE
" ""As Time Goes By"" requester (4)",ILSA
 Apple product (4),IMAC
 Mental picture (5),IMAGE
 Persona (5),IMAGE
 Spin doctor's concern (5),IMAGE
 Former pupa (5),IMAGO
 Moslem title (4),IMAM
 Muslim chief (4),IMAM
 One-name fashion model (4),IMAN
 Somali-born supermodel (4),IMAN
 Japanese porcelain (5),IMARI
 __ ware (Japanese porcelain) (5),IMARI
" ""____ corny as Kansas...."" (4)",IMAS
 Clarifying words (5),IMEAN
 Ammonia compound (5),IMIDE
" ""See you."" in poker (4)",IMIN
" ""__ Rappaport"" (5)",IMNOT
" ""__ Rappaport"" (5)",IMNOT
" ""__ Rappaport"" (5)",IMNOT
" Springsteen's ""__ Fire"" (4)",IMON
 Get in the way (6),IMPEDE
 Slow the progress of (6),IMPEDE
 Drive forward (5),IMPEL
 Urge (5),IMPEL
 Gremlins (4),IMPS
 Rascals (4),IMPS
 Without purpose (4),IMPS
 Hungarian patriot Nagy (4),IMRE
" The Beatles' ""__ Tired"" (4)",IMSO
 How some popcorn is popped (5),INAIR
 Caught __ (found to be fibbing) (6),INALIE
 Caught __ (found to be fibbing) (6),INALIE
 Including everything (5),INALL
 __ uproar (4),INAN
 __ uproar (4),INAN
 __ uproar (4),INAN
 Foolish (5),INANE
 Goofy (5),INANE
 Nonsensical (5),INANE
 Pointless (5),INANE
 Ridiculous (5),INANE
 Senseless (5),INANE
 More wacky (6),INANER
" ""... __-horse open sleigh"" (6)",INAONE
 Lined up (6),INAROW
 __ the finish (4),INAT
 Nursery rhyme bathing spot (6),INATUB
 Rapt (5),INAWE
 Catching some z's (5),INBED
 Not up. as yet (5),INBED
 Machu Picchu resident (4),INCA
 Native Peruvian (4),INCA
 Past Peruvian (4),INCA
 Peruvian of yore (4),INCA
 Machu Picchu artifact (5),INCAN
 Of Andes natives (5),INCAN
 Early Peruvians (5),INCAS
 72 points. give or take (4),INCH
 Creep along (4),INCH
 Creep along (4),INCH
 Move slowly (4),INCH
 Part of a foot (4),INCH
 Carve (6),INCISE
 Disguised. informally (5),INCOG
 Raise: Abbr. (4),INCR
 Bring upon oneself (5),INCUR
" ""... is a friend __ (6)",INDEED
" ""Really!"" (6)",INDEED
 Bangalore's land (5),INDIA
 Drawing ink (5),INDIA
 Land of the Ganges (5),INDIA
 The Jewel in the Crown (5),INDIA
 Jacobs Field denizen� (6),INDIAN
 Accuse of wrongdoing (6),INDICT
" Ellington's ""Mood __"" (6)",INDIGO
 Introduction to Chinese? (4),INDO
 Introduction to Chinese? (4),INDO
" The center of ""window""? (4)",INDO
 Neither Dems. or Reps: Abbr. (4),INDS
 Annual Memorial Day event (4),INDY
 Noted auto race. informally (4),INDY
 __ 500 (4),INDY
 Crossword poison (4),INEE
" The Beatles' ""__ You"" (5)",INEED
 All thumbs (5),INEPT
 Like a couch potato (5),INERT
 Like krypton (5),INERT
 Nonreactive (5),INERT
 Existing (6),INESSE
" ""Mockingbird"" singer Foxx (4)",INEZ
 Don Juan's mother (4),INEZ
 Conjecture (5),INFER
 Invade in great numbers (6),INFEST
 __ fettle (feeling well) (6),INFINE
 Tributary stream (6),INFLOW
 Facts. in slang (4),INFO
 Lowdown (4),INFO
 The goods (4),INFO
 Below. in combinations (5),INFRA
 Actress Swenson (4),INGA
 Actress Swenson (4),INGA
 Actress Swenson (4),INGA
" Swenson of ""Benson"" (4)",INGA
" ""Bus Stop"" playwright (4)",INGE
" ""Come Back. Little Sheba"" author (4)",INGE
" ""Picnic"" author (4)",INGE
 Breathe in (6),INHALE
 Consume quickly (6),INHALE
 One way to cut something (6),INHALF
 English architect Jones (5),INIGO
" ""We're all ___ together"" (4)",INIT
" ""What's __ for me?"" (4)",INIT
" ""What's ____ for me?"" (4)",INIT
 Pt. of an approval. perhaps (4),INIT
 From the start: ab ____ (6),INITIO
 Press mechanism (5),INKER
 Pressman. at times (5),INKER
 India et al. (4),INKS
 Signs (4),INKS
 Signs. as a contract (4),INKS
 Signs. as a contract (4),INKS
 Pitch black (4),INKY
 Pitch-black (4),INKY
" ""To Live and Die __"" (4)",INLA
" ""To Live and Die __"" (4)",INLA
" ""To Live and Die ___"" (1985 movie) (4)",INLA
 Like some linoleum (6),INLAID
 Away from the coast (6),INLAND
 Acquired relative (5),INLAW
 Acquired relative (5),INLAW
 Shoreline recess (5),INLET
 Small bay (5),INLET
 Small cove (5),INLET
" ""I've Got the Music __"" (4)",INME
 Nearest the center (6),INMOST
 Roadhouse. in colonial times (4),INNE
" ""___ Sanctum"" (old radio show) (5)",INNER
 Kind of tube (5),INNER
 Like most navels (5),INNIE
 __ time (right away) (4),INNO
 __ way. shape or form (4),INNO
 __ way. shape. or form (4),INNO
 ___ time (immediately) (4),INNO
 ___ uncertain terms (4),INNO
 Guest houses (4),INNS
 Hostelries (4),INNS
 Keepers keep them (4),INNS
 Lodges (4),INNS
 Travelers' stopovers (4),INNS
 Hip to. as a secret (4),INON
 Privy to (4),INON
 Words with hole or two (5),INONE
 ___ fell swoop (5),INONE
" "" ___ out?"" (poker query) (4)",INOR
" ""Are you ___ out?"" (4)",INOR
" ""Peace __ time"": Neville Chamberlain (5)",INOUR
 Not completely (6),INPART
 Feed for the computer (5),INPUT
 VCR jack (5),INPUT
 Apropos of (4),INRE
 As to (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Legal memo starter (4),INRE
 Memo phrase (4),INRE
 With respect to (4),INRE
 With respect to (4),INRE
 Cross letters (4),INRI
 Cross letters (4),INRI
 Crucifix inscription (4),INRI
 Small perfume holders (5),INROS
 Mad (6),INSANE
 Moonstruck (6),INSANE
 Preposterous (6),INSANE
 Leg line (6),INSEAM
 Trouser measurement (6),INSEAM
 Bug (6),INSECT
 Bill-changer instruction (6),INSERT
 Atlas enlargement (5),INSET
 Atlas feature (5),INSET
 Atlas feature (5),INSET
 Map within a map (5),INSET
 Part of R.P.I. (4),INST
 Conforming to (10),INSTEPWITH
 Unblemished (6),INTACT
 Breathe in (6),INTAKE
 Breathe in (6),INTAKE
 Engine opening (6),INTAKE
 Kind of valve (6),INTAKE
 Opening by which a fluid is admitted (6),INTAKE
 Lays to rest (6),INTERS
 Because (6),INTHAT
 Well-off (10),INTHECHIPS
 IMF part (4),INTL
" ""...and __ the fire"" (4)",INTO
" ""___ each life some..."" (4)",INTO
 Gung-ho about (4),INTO
 Gung-ho about (4),INTO
 Gung-ho about (4),INTO
" James Lapine's 1987 book ""_____ the Woods"" (4)",INTO
" Jon Krakauer's ""___ Thin Air"" (4)",INTO
 Obsessed with (4),INTO
 Preoccupied with (4),INTO
 Really involved with (4),INTO
 Wild about (4),INTO
 Chant (6),INTONE
 As a whole (6),INTOTO
 Following along (5),INTOW
 Visiting. perhaps (6),INTOWN
 Mural start (5),INTRA
 Mural starter (5),INTRA
 Emcee's line (5),INTRO
 Within. in combinations (5),INTRO
 CB's pickoffs (4),INTS
 Pts. of speech (4),INTS
 Like good violin playing (6),INTUNE
 Northern native people (5),INUIT
 Accustom (5),INURE
 Habituate (5),INURE
 Habituate (5),INURE
 Harden (5),INURE
 Casehardened (6),INURED
 Rock band from Down Under (4),INXS
 First-aid item (6),IODINE
 College in New Rochelle (4),IONA
 Early Celtic Christianity center (4),IONA
 Hebrides island (4),IONA
 Inner Hebrides island (4),IONA
 New Rochelle campus (4),IONA
" Skye of ""Say Anything"" (4)",IONE
 Skye on film (4),IONE
 Skye on film (4),IONE
 Ancient Aegean region (5),IONIA
 Ancient Greek settlement (5),IONIA
 Greek column style (5),IONIC
 Greek column style (5),IONIC
 Convert to charged particles (6),IONIZE
 They're charged (4),IONS
 Greek letter (4),IOTA
 Greek vowel (4),IOTA
 I. as in Ithaca? (4),IOTA
 Scintilla (4),IOTA
 Small bit (4),IOTA
 Smidgen (4),IOTA
 Smidgen (4),IOTA
 Smidgen (4),IOTA
 The least bit (4),IOTA
 Greek letters (5),IOTAS
 Chits (4),IOUS
 Big Ten school (4),IOWA
 Hawkeye State (4),IOWA
" Home of the ""Mound Builders."" (4)",IOWA
 Missouri neighbor (4),IOWA
 Sen. Grassley's state (4),IOWA
 Where Indianola is (4),IOWA
 Herbert Hoover. e.g. (5),IOWAN
 Colgate competitor. once (5),IPANA
 __ facto (4),IPSO
 __ facto (4),IPSO
 __ facto (4),IPSO
 __ facto (4),IPSO
 ___ facto (4),IPSO
 ____ facto (4),IPSO
 Sultan's decree (5),IRADE
 Before 1935 it was Persia (4),IRAN
 Capital is Teheran (4),IRAN
 Country in the RAIN? (4),IRAN
 Country on the Caspian (4),IRAN
 Formerly Persia (4),IRAN
 Oil-producing country (4),IRAN
 Pahlavi's former domain (4),IRAN
 Pahlavi's former domain (4),IRAN
 Pahlavi's former domain (4),IRAN
 Pahlavi's former domain (4),IRAN
 Pahlavi's former domain (4),IRAN
 Tabriz locale (4),IRAN
 __-Contra affair (4),IRAN
 __-Contra affair (4),IRAN
 Azerbaijani neighbor (5),IRANI
 Teheran native (5),IRANI
 Country in the news (4),IRAQ
 Jordan adjoiner (4),IRAQ
 Mesopotamia. nowadays (4),IRAQ
 Nation bordering Iran (4),IRAQ
 Arabian dialect (5),IRAQI
 Basra native (5),IRAQI
 Basra native (5),IRAQI
 Retirement accts. (4),IRAS
 Tax-deferred accts. (4),IRAS
 Tax-deferred accts. (4),IRAS
 They're sometimes rolled over (4),IRAS
 In a dither (5),IRATE
 In a pique (5),IRATE
 Mad as heck (5),IRATE
 More than sore (5),IRATE
 Steamed (5),IRATE
 Steamed (5),IRATE
 Seething (4),IRED
 Vexed (4),IRED
" ""Goodnight"" girl of song (5)",IRENE
 Actress Dunne (5),IRENE
 Cara or Castle (5),IRENE
 Papas of film (5),IRENE
 Papas of film (5),IRENE
" Ryan of ""The Beverly Hillbillies"" (5)",IRENE
 Singer Cara (5),IRENE
 Soames Forsyte's wife (5),IRENE
 The good-night girl (5),IRENE
 Makes mad (4),IRES
 Outrages (4),IRES
 Piques (4),IRES
 Tees off (4),IRES
 Ticks off (4),IRES
" ""___ my case!"" (5)",IREST
" ""___ my case"" (5)",IREST
 Eye parts (6),IRIDES
 One of a Chekhov trio (5),IRINA
 Flowering bulb (4),IRIS
 Goddess of the rainbow (4),IRIS
 Goddess of the rainbow (4),IRIS
 Light regulator (4),IRIS
 Pupil's place (4),IRIS
 Rainbow goddess (4),IRIS
 Showy flower (4),IRIS
 Tennessee state flower (4),IRIS
 The eyes have it (4),IRIS
 Pupil controllers (6),IRISES
 From the Emerald Isle (5),IRISH
 Notre Dame's Fighting __ (5),IRISH
 Angered (5),IRKED
 Irritated (5),IRKED
 Ticked off (5),IRKED
 Annoys (4),IRKS
 Gets under one's skin (4),IRKS
 Nettles (4),IRKS
 Ruffles feathers (4),IRKS
 Ticks off (4),IRKS
" ""The Joy Of Cooking"" author Rombauer (4)",IRMA
" ""___ La Douce"" (4)",IRMA
" 50's sitcom ""My Friend ___ "" (4)",IRMA
 Marie Wilson TV role (4),IRMA
 Shirley's 1963 portrayal (4),IRMA
 Board appliance (4),IRON
 Common ore (4),IRON
 Decrease? (4),IRON
 Ferrous ore (4),IRON
 Geritol supplement (4),IRON
 Golf bag item (4),IRON
 It's pumped at the gym (4),IRON
 Press (4),IRON
 Press (4),IRON
 Rock's __ Maiden (4),IRON
 Smooth over (4),IRON
 Unused household appliance (4),IRON
 Woods choice (4),IRON
 Creased. or decreased? (6),IRONED
 Press agent? (6),IRONER
 Press corps member? (6),IRONER
 Palmer's bagful (5),IRONS
 O. Henry device (5),IRONY
 O. Henry device (5),IRONY
 US employee (10),IRSAUDITOR
" ""Rich Man. Poor Man"" author ____ Shaw (5)",IRWIN
 Writer Asimov (5),ISAAC
" ""This __ outrage!"" (4)",ISAN
" ""Stupid __ stupid does"" (4)",ISAS
 Brit's conversation starter (4),ISAY
 British exclamation (4),ISAY
 Britisher's exclamation (4),ISAY
 Britisher's exclamation (4),ISAY
 Gosh! to an Englishman (4),ISAY
" ""Got it"" (4)",ISEE
" ""Now it's clear!"" (4)",ISEE
" ""Oh. yeah!"" (4)",ISEE
" ""That explains it"" (4)",ISEE
 Fortune-teller's starting words (4),ISEE
 Fortuneteller's phrase starter (4),ISEE
 Fortuneteller's words (4),ISEE
 Understanding words (4),ISEE
 Understanding words (4),ISEE
 Words of understanding (4),ISEE
" ""___ a Letter to My Love"" (Signoret film) (5)",ISENT
 Grenobles river (5),ISERE
 Rhone feeder (5),ISERE
 River of SE France (5),ISERE
 River to the Rhone (5),ISERE
 River to the Rhone (5),ISERE
" ""...slug-horn to my lips ____ ..."" (4)",ISET
" ""____ the Sheriff"" (Clapton classic) (5)",ISHOT
" Clapton's ""__ the Sheriff"" (5)",ISHOT
 1987 film flop (6),ISHTAR
 Hoops star Thomas (5),ISIAH
" ""Beauty __ the eye..."" (4)",ISIN
" ""The doctor __"" (4)",ISIN
 Egyptian goddess (4),ISIS
 Egyptian goddess (4),ISIS
 Egyptian goddess of nature (4),ISIS
 Egyptian mother goddess (4),ISIS
 Sister of Osiris (4),ISIS
 The Thames near Oxford (4),ISIS
" ""Whose Life __ Anyway?"" (4)",ISIT
 Last Supper question (5),ISITI
" Madonna's ""La __ Bonita"" (4)",ISLA
" Madonna's ""La __ Bonita"" (4)",ISLA
" Madonna's ""__ Bonita"" (4)",ISLA
 Muslim faith (5),ISLAM
 Shi'ite's faith (5),ISLAM
 Shi'ite's faith (5),ISLAM
 Small land mass in the water (6),ISLAND
 Capri or Wight (4),ISLE
 Fair ___ (Shetland sweater) (4),ISLE
 Majorca or Minorca (4),ISLE
 Man or Wight (4),ISLE
 Man or Wight (4),ISLE
 Man. for one (4),ISLE
 Map dot (4),ISLE
 One is Man (4),ISLE
 Presque ___. ME (4),ISLE
 The Emerald __ (4),ISLE
 Tropical getaway (4),ISLE
 Vacation spot (4),ISLE
 Wight or Royale (4),ISLE
 Wight or Skye (4),ISLE
 Wight or Skye (4),ISLE
 Man and Wight (5),ISLES
 Some are British (5),ISLES
 One of the Langerhans? (5),ISLET
 Speck in the ocean (5),ISLET
 Long Island town (5),ISLIP
" ""Woe ___? (4)",ISME
" ""__ She Lovely"" (4)",ISNT
" ""___ It Romantic?"" (4)",ISNT
 Ain't the right way? (4),ISNT
 Weather-map line (6),ISOBAR
 Weatherman's line (6),ISOBAR
 Tristan's love (6),ISOLDE
 Wagnerian woman (6),ISOLDE
 Chemical compound (6),ISOMER
 Chemical compound (6),ISOMER
 Same substance. different properties (6),ISOMER
" ""The frost ___ the punkin..."" (4)",ISON
 Desert country (6),ISRAEL
" ""... __ rare as a day in June?"" (4)",ISSO
 Magazine edition (5),ISSUE
 Offspring (5),ISSUE
 Put out (5),ISSUE
 Subscription unit (5),ISSUE
 Extended land masses (6),ISTHMI
 Panama and Suez (6),ISTHMI
 Agave fiber (5),ISTLE
 Ratio phrase (4),ISTO
 Ratio words (4),ISTO
 Ratio words (4),ISTO
 Final and fundamental endings (4),ISTS
 Word on some European coins (6),ITALIA
 Slanted to the right (6),ITALIC
 Type type (6),ITALIC
" ""____ depends on you...."" (5)",ITALL
 Novelist Calvino (5),ITALO
 Boot of Europe (5),ITALY
 Country with a boot (5),ITALY
 Home of the Pope (5),ITALY
 NATO country (5),ITALY
 Po land (5),ITALY
 __-Tass (4),ITAR
 __-Tass (Russian news agency) (4),ITAR
 ___-Tass (4),ITAR
" ""Let __"" (4)",ITBE
" The Beatles' ""Let __"" (4)",ITBE
 Chicken-pox symptom (4),ITCH
 Suffered from an allergy. perhaps (6),ITCHED
 Poison ivy rash feature (5),ITCHY
 Raring to go (5),ITCHY
 Restless (5),ITCHY
 Article (4),ITEM
 Bit of gossip (4),ITEM
 Celebrity couple (4),ITEM
 Express-checkout unit (4),ITEM
 Gossip tidbit (4),ITEM
 Laundry-list component (4),ITEM
 Newspaper notice (4),ITEM
 Social note (4),ITEM
 Specific (4),ITEM
 Twosome. tabloid style (4),ITEM
 Gossip tidbits (5),ITEMS
 Particulars (5),ITEMS
 Appian Way (4),ITER
 Roman road in a TIER? (4),ITER
 Roads in old Rome (5),ITERS
 Ender for fin and zinc (4),ITES
" ""__ Jury"" (Spillane novel) (4)",ITHE
 Pack _____ (end) (4),ITIN
 Take __ stride (4),ITIN
" ""How sweet __!"" (4)",ITIS
" ""__ do for now"" (4)",ITLL
" ""__ never work!"" (4)",ITLL
" ""__ never work!"" (4)",ITLL
" ""Blame __ Rio"" (4)",ITON
" ""Believe __ not"" (4)",ITOR
" ""Do ___ else!"" (4)",ITOR
" ""Quincy"" actor Robert and skater Midori (4)",ITOS
" ""__ Wonderful Life"" (4)",ITSA
" ""___ sweetheart of a deal"" (4)",ITSA
" Words before ""boy"" or ""girl"" (4)",ITSA
" Pronoun.  ""per se"" (6)",ITSELF
" ""Who's there?"" response (5)",ITSME
" ""Who's there?"" response (5)",ITSME
" ""Who's there?"" response (5)",ITSME
" ""__ Easy"" [Ronstadt tune] (5)",ITSSO
" ""__ Bitsy Spider"" (4)",ITSY
" ""__ Bitsy Spider"" (4)",ITSY
" ""Suffice ___ say..."" (4)",ITTO
" ""Tell __ the Marines!"" (4)",ITTO
" ""Tell __ the Marines!"" (4)",ITTO
 Bitty opener (4),ITTY
 ___ bitty (4),ITTY
" ""Terrible"" czar (4)",IVAN
" ""Terrible"" handle? (4)",IVAN
 Boesky or Lendl (4),IVAN
 First czar (4),IVAN
 He was terrible (4),IVAN
 Lendl of tennis (4),IVAN
 Lendl of tennis (4),IVAN
 Researcher Pavlov (4),IVAN
 A Mrs. Trump (5),IVANA
 A Trump (5),IVANA
" ""Decoration Day"" composer (4)",IVES
 1958 Oscar winner Burl (4),IVES
 Balladeer Burl (4),IVES
 Currier's partner (4),IVES
 Currier's partner (4),IVES
 Folk singer Burl (4),IVES
 Like campus walls (5),IVIED
 Overgrown. in a way (5),IVIED
 Actor Novello (4),IVOR
 Banned article of trade (5),IVORY
 Tusk material (5),IVORY
 Country on the Gulf of Guinea (10),IVORYCOAST
" ""__ Teenage Werewolf"" (5)",IWASA
" ""__ Teenage Werewolf""� (5)",IWASA
" ""If ___ the only..."" (5)",IWERE
" ""Heads __; tails ..."" (4)",IWIN
 Victor's cry (4),IWIN
" ""Alligator"" shirt maker (4)",IZOD
 Shirt emblem (4),IZOD
 Blouse ruffles (6),JABOTS
 Ring tactics (4),JABS
 Car lifter (4),JACK
 Jill's companion (4),JACK
 Has an accident with  the rig (10),JACKKNIFES
" Tune with the nonsense lyrics ""jing jing jing"" (4)",JADA
 Worn out (5),JADED
 Sprees (4),JAGS
 Taj Mahal builder Shah __ (5),JAHAN
 Hoosegow (4),JAIL
 Monopoly corner (4),JAIL
 Where one is immured (4),JAIL
 LaMotta of the ring (4),JAKE
 Actor Malcolm-__ Warner (5),JAMAL
 Doorway sidepiece (4),JAMB
 Cagney. but not Lacey (5),JAMES
 Space captain (10),JAMESTKIRK
 A cat may play in it (10),JAMSESSION
 Pauley or Fonda (4),JANE
 Tarzan's lady (4),JANE
 __ Doe (4),JANE
 Reno or Leigh (5),JANET
 Two-faced one (5),JANUS
 Decorative. enamel coating (5),JAPAN
 They may be jelly-filled (4),JARS
" ""Friday the 13th"" series villain (5)",JASON
 Short outing (5),JAUNT
 Coffee (4),JAVA
 Joe (4),JAVA
 Sun programming language (4),JAVA
 Walls of a canyon (4),JAWS
 Bird financier? (10),JAYPMORGAN
 Pedestrian lawbreakers (10),JAYWALKERS
 Basie's music (4),JAZZ
" Early talkie. with ""The"" (10)",JAZZSINGER
 It gives skiers a lift (4),JBAR
 Genet or Lafitte (4),JEAN
 Popular pants (5),JEANS
 Cartoon magpie (6),JECKLE
 Ewok ally (4),JEDI
 Ridicule (4),JEER
 Mocked (6),JEERED
 Mutt's partner (4),JEFF
 Lack of maturity (10),JEJUNENESS
 Reagan's favorite (10),JELLYBEANS
 Park Yogi played in (10),JELLYSTONE
 Like one of Seinfeld's models? (10),JERRYBUILT
 Onetime heavyweight champ Willard (4),JESS
 One of the James' brothers (5),JESSE
 Outlaw James (5),JESSE
 Outlaw James (5),JESSE
 Amusing act (4),JEST
 Speak playfully (4),JEST
 Ballet jump (4),JETE
 Nijinsky's leaps (5),JETES
 One of the Beverly Hillbillies (6),JETHRO
 Coast-to-coast flier's affliction (6),JETLAG
 Frequent fliers (4),JETS
 Super Bowl III winners (4),JETS
 Turbo and prop (4),JETS
" ""I Love Rock 'n' Roll"" singer Joan (4)",JETT
 Tiara inset (5),JEWEL
 SST (10),JFKARRIVAL
 Today Show scene stealer. once (10),JFREDMUGGS
 Harmonizes (5),JIBES
 Holy wars (6),JIHADS
 St. John and Jack's friend (5),JILLS
 Glib speech (4),JIVE
 Jazz lingo (4),JIVE
 Baez or Blondell (4),JOAN
 Funny lady (10),JOANRIVERS
 With Wozniak. Apple founder (4),JOBS
 Witty (6),JOCOSE
 Davis or Watley (4),JODY
 The Piano Man (4),JOEL
 Journalist-writer Chandler (10),JOELHARRIS
 College and Blow (4),JOES
 Rat Pack member (10),JOEYBISHOP
 Takes a morning run (4),JOGS
 Dessert for Carson? (10),JOHNNYCAKE
 Originally. Karol Wojtyla (10),JOHNPAULII
 Famed photographer (10),JOHNSEXTON
 Becomes a member (5),JOINS
 Skater Starbuck (4),JOJO
 1986 title role for Richard Pryor (10),JOJODANCER
 It may be practical (4),JOKE
 Words of Hope? (4),JOKE
 Playing-card deck pair (6),JOKERS
 Singer. ___ Feliciano (4),JOSE
 Slugger Canseco (4),JOSE
 Logan of Broadway (4),JOSH
" Lawrence of ""Enchanted April"" (5)",JOSIE
 Hit against (6),JOSTLE
 Nudge (6),JOSTLE
" ""By ___!"" (mild oath) (4)",JOVE
 Roman Zeus (4),JOVE
 Sweathog Epstein (4),JUAN
 Biblical betrayer (5),JUDAS
 Wynonna and Naomi (5),JUDDS
" ""A Date With ___"" (4)",JUDY
 Child or Roberts (5),JULIA
 Hodgepodge (6),JUMBLE
 Carl Lewis specialty (4),JUMP
 Snowbird (5),JUNCO
 Psychologist Carl (4),JUNG
 Put in the trash (6),JUNKED
 Pleasure trip (6),JUNKET
" O'Casey's ""__ and the Paycock"" (4)",JUNO
 __ Doctor (law degree) (5),JURIS
 __ Doctor (law degree) (5),JURIS
 Trial figure (5),JUROR
 Burlap fiber (4),JUTE
 Kind of fiber (4),JUTE
 Japanese drama (6),KABUKI
" ""The Trial"" author Franz (5)",KAFKA
" ""The Prophet"" writer Gibran (6)",KAHLIL
 Architect Louis I. ___ (4),KAHN
 Newsman Bernard (4),KALB
 Crinkly cabbage (4),KALE
 Ornamental cabbage (4),KALE
 Winter cabbage (4),KALE
 Goddess of the Thugs (4),KALI
 Designer Norma (6),KAMALI
 Helen. the Betty Boop girl (4),KANE
 Helen. the Betty Boop girl (4),KANE
 Welles citizen (4),KANE
 Welles' citizen (4),KANE
 Nebr. neighbor (4),KANS
 Home. to Toto (6),KANSAS
" ""Critique of Pure Reason"" philosopher (4)",KANT
" ""Metaphysics of Morals"" author (4)",KANT
 German philosopher (4),KANT
